"id","date_start","date_end","event_type","event_recurs","event_name","slug","location","lat","lng","location_accuracy","is_in_barcelona","url","event_notes"
"124",2023-09-15,2023-09-17,"Sporting Festival / Event",true,"Wodcelona International Crossfit Competition","wodcelona-international-crossfit-competition","Port Olímpic de Barcelona (on the jetty near Somorrostro beach)",41.3878842,2.1984635,1,true,"https://www.wodcelona.com/","CrossFit competition, held on the jetty near Somorrostro beach"
"125",2023-09-20,2023-09-24,"Festa Major",true,"Festa Major de Sant Mateu (Esplugues)","festa-major-de-sant-mateu-esplugues","Esplugues de Llobregat",41.3766912,2.0858115,2,false,"https://www.esplugues.cat/festa-major-de-sant-mateu-2023/",""
"126",2023-09-22,2023-10-01,"Festa Major",true,"Festa Major de Sant Miquel (Molins de Rei)","festa-major-de-sant-miquel-molins-de-rei","Molins de Rei",41.4134488,2.0182425,3,false,"https://molinsderei.cat/festamajor/",""
"127",2023-09-29,2023-10-01,"Food Festival",true,"Born Street Food Festival 2023","born-street-food-festival-2023","Plaça Pla de Palau (El Born)",41.3826279,2.1831871,1,true,"https://barcelonaborngourmet.com/en/born-street-food/",""
"128",2023-09-29,2023-10-01,"Sporting Festival / Event",true,"Festival de la Velocidad","festival-de-la-velocidad","Circuit de Barcelona-Catalunya",41.5696659,2.2578755,1,false,"https://festivaldelavelocidad.com/",""
"129",2023-10-05,2023-10-15,"Film Festival",true,"Sitges Film Festival","sitges-film-festival","Multiple Cinemas - Sitges",41.2365928,1.8058987,3,false,"https://sitgesfilmfestival.com/es","Multiple cinemas in Sitges. Check website for details"
"130",2023-10-06,2023-10-08,"Culture / Arts Festival",true,"Baumfest","baumfest","Fira de Barcelona",41.3873974,2.168568,1,true,"https://baumfest.com/en/home/",""
"131",2023-10-07,2023-10-08,"Culture / Arts Festival",true,"Viu Montjuic","viu-montjuic","Montjuic - Various",41.3640002,2.1674931,2,true,"https://www.barcelona.cat/viumontjuic/es",""
"132",2023-10-08,2023-10-08,"Sporting Festival / Event",true,"Barcelona Triathlon 2023","barcelona-triathlon-2023","Mar Bella Beach / Mar Bella Athletics Track",41.3986632,2.2122102,1,true,"https://www.triathlon.barcelona/en/",""
"133",2023-10-21,2023-10-22,"Open Day / Weekend",true,"48 Hour Open House Barcelona","48-hour-open-house-barcelona","Multiple Locations - check website",41.3873974,2.168568,3,true,"https://www.48hopenhousebarcelona.org/","Multiple locations - check website"
"134",2023-10-21,2023-10-22,"Culture / Arts Festival",true,"Mercat de Mercats Barcelona","mercat-de-mercats-barcelona","Plaça de Catalunya",41.3870154,2.1700471,1,true,"https://www.barcelona.cat/mercatdemercats/es",""
"135",2023-11-03,2023-11-12,"Local / Neighbourhood Festival",true,"La Verneda de Sant Martí","la-verneda-de-sant-mart","Sant Martí Neighbouhood - Various",41.4100098,2.2029804,2,true,"https://www.evern.org/festa-major-2023/",""
"136",2023-11-05,2023-11-05,"Local / Neighbourhood Festival",true,"Trobada BCN Ciutat Diversa 2023","trobada-bcn-ciutat-diversa-2023","Arc de Triomf - Passeig de Lluís Companys",41.3910524,2.1806449,1,true,"https://ajuntament.barcelona.cat/oficina-no-discriminacio/ca/noticia/trobada-bcn-ciutat-diversa-2023",""
"137",2023-11-23,2024-01-06,"Local / Neighbourhood Festival",true,"Christmas Lights Turn on","christmas-lights-turn-on","Passeig de Gracia",41.3880345,2.170281,1,true,"https://www.barcelona.cat/infobarcelona/en/tema/culture-and-leisure/horaris-de-lenllumenat-de-nadal-del-2023_1331713.html",""
"138",2023-11-24,2023-11-24,"Local / Neighbourhood Festival",true,"Fira de Santa Llúcia","fira-de-santa-ll-cia","Plaça Nova",41.3842534,2.1751129,1,true,"https://en.firadesantallucia.cat/la_fira.php",""
"139",2023-11-24,2023-11-24,"Open Day / Weekend",true,"Poblenou Open Night","poblenou-open-night","Poblenou - Various",41.4033546,2.2028843,2,true,"https://poblenouurbandistrict.com/en/poblenou-open-night/",""
"140",2024-02-03,2024-03-23,"Music Festival",true,"Sons de Ciutat Winter 2024","sons-de-ciutat-winter-2024","Barcelona - Various Neighbourhoods",41.3873974,2.168568,3,true,"https://www.barcelona.cat/sonsdeciutat/en","Occurs each saturday from 12h (check line-up). As well as winter/christmas, also occurs in spring and autumn throughout the year."
"141",2024-05-15,2024-05-26,"Food Festival",true,"The Champions Burger 2024","the-champions-burger-2024","Fira Barcelona Montjuïc, Plaça de L’Univers",41.3739349,2.1505137,1,true,"https://thechampionsburger.es/","The festival travels around Spain"
"142",2024-06-07,2024-06-09,"Food Festival",true,"Meat and Fire Festival","meat-and-fire-festival","Moll de la Fusta",41.3796026,2.1820142,1,true,"https://meatandfire.org/en/",""
"143",2024-08-21,2024-08-24,"Music Festival",true,"Canela Party","canela-party","Av. del Real, 0, 29620 Torremolinos, Málaga",36.6217432,-4.5139168,1,false,"https://canelaparty.com/",""
