barrio_id,barrio_parent_id,barrio_label,barrio,barrio_alias,barrio_desc,barrio_zone,barrio_central,barrio_central_range,barrio_active
1,0,Ciutat Vella,Ciutat Vella,/ciutat-vella,,1,1,0,1
2,0,L'Eixample,L'Eixample,/leixample,,1,2,0,1
3,0,Sants-Montjuïc,Sants-Montjuic,/sants-montjuic,,1,3,0,1
4,0,Les Corts,Les Corts,/les-corts,,1,4,0,1
5,0,Sarrià-Sant Gervasi,Sarria-Sant Gervasi,/sarria-sant-gervasi,,1,5,0,1
6,0,Gràcia,Gracia,/gracia,,1,4,0,1
7,0,Horta-Guinardó,Horta-Guinardo,/horta-guinardo,,1,5,0,1
8,0,Nou Barris,Nou Barris,/nou-barris,,1,5,0,1
9,0,Sant Andreu,Sant Andreu,/sant-andreu,,1,5,0,1
10,0,Sant Martí,Sant Marti,/sant-marti,,1,3,0,1
11,1,El Raval,El Raval,/el-raval,,1,0,0,1
12,1,El Barri Gòtic,El Barri Gotic,/el-barri-gotic,,1,0,0,1
13,1,"Sant Pere, Santa Caterina I La Ribera","Sant Pere, Santa Caterina I La Ribera",/sant-pere-santa-caterina-i-la-ribera,,1,0,0,1
14,1,La Barceloneta,La Barceloneta,/la-barceloneta,,1,0,0,1
15,2,L'Antiga Esquerra de l'Eixample,L'Antiga Esquerra de l'Eixample,/lantiga-esquerra-de-leixample,,1,0,0,1
16,2,La Nova Esquerra de l'Eixample,La Nova Esquerra de l'Eixample,/la-nova-esquerra-de-leixample,,1,0,0,1
17,2,La Dreta de l'Eixample,La Dreta de l'Eixample,/la-dreta-de-leixample,,1,0,0,1
18,2,El Fort Pienc,El Fort Pienc,/el-fort-pienc,,1,0,0,1
19,2,La Sagrada Família,La Sagrada Familia,/la-sagrada-familia,,1,0,0,1
20,2,Sant Antoni,Sant Antoni,/sant-antoni,,1,0,0,1
21,3,La Bordeta,La Bordeta,/la-bordeta,,1,0,0,1
22,3,La Font de la Guatlla,La Font de la Guatlla,/la-font-de-la-guatlla,,1,0,0,1
